name_dippr,name_cosmors,dippr_chemid,casrn,association_classification,association_subclassification,dippr_chemical_family,molcecular_weight,tc_k,pc_bar,omega,hhb_cosm_kj_kmol,m,sigma,epsilonk_k,association_scheme,epsilonAB_k,kappaAB,errPsat_%,errvLsat_%,errΔvapH_%,errcpLsat_%,Area_HD,Area_NA,Area_HA,Area_Total_COSMO
ETHANOL,ethanol,1102,"""64-17-5""",SA,SA,n-alcohols,46.06844,514.0,61.37,0.643558,14.696971,5.86511,2.30916,187.742,2B,2550.0,0.008,1.335435979,1.372329244,4.774064282,6.543487268,0.005702708583694232,0.07073849183928672,0.011083261604542215,0.089306931093
1-PROPANOL,propanol,1103,"""71-23-8""",SA,SA,n-alcohols,60.09502,536.8,51.69,0.6209,14.958866,6.09937,2.48304,191.371,2B,2550.0,0.008,0.204437238,0.697893185,3.368726106,8.134613447,0.005486164966214107,0.09098780272016177,0.010847176261571998,0.10939360371099997
ISOPROPANOL,2-propanol,1104,"""67-63-0""",SA,SA,other aliphatic alcohols,60.095,508.3,47.65,0.663,13.675788,6.49178,2.4283,177.874,2B,2550.0,0.008,0.499587437767744,1.42873059961067,6.17952730262713,7.95736820961665,0.005408752080159939,0.08998828051972427,0.01093426252675271,0.108224830527
1-BUTANOL,1-butanol,1105,"""71-36-3""",SA,SA,n-alcohols,74.1216,563.1,44.14,0.58828,14.85475,5.98271,2.6867,201.402,2B,2550.0,0.008,0.720179613,0.765504956,4.62977385,3.803127691,0.005525379491092768,0.11111806724144263,0.01105278292142922,0.129485094523
2-METHYL-1-PROPANOL,isobutanol,1106,"""78-83-1""",SA,SA,other aliphatic alcohols,74.1216,547.8,42.95,0.58571,14.606293,6.13964,2.65897,193.753,2B,2550.0,0.008,1.81204642306621,0.461725508277803,8.25297135978674,4.4927964058275,0.005459827164961948,0.10876777053788553,0.010197012452074572,0.12609748585499997
2-METHYL-2-PROPANOL,tert-butanol,1108,"""75-65-0""",SA,SA,other aliphatic alcohols,74.1216,506.2,39.72,0.615203,13.59452,6.28196,2.62731,178.196,2B,2550.0,0.008,2.28120271371796,1.63877510812126,10.0475550641797,12.0415263224678,0.004726336960162223,0.10759033807812515,0.010442627045384255,0.12469238294400001
1-PENTANOL,1-pentanol,1109,"""71-41-0""",SA,SA,n-alcohols,88.1482,588.1,38.97,0.57483,15.191925,5.74472,2.89146,213.637,2B,2550.0,0.008,0.446938364,0.546338096,3.673240225,2.329233065,0.005482822726116344,0.13110184309866474,0.010933648703784476,0.149556692831
2-METHYL-2-BUTANOL,2-methyl-2-butanol,1111,"""75-85-4""",SA,SA,other aliphatic alcohols,88.1482,543.7,37.1,0.481975,13.244597,5.39681,2.93087,200.013,2B,2550.0,0.008,3.64212355785514,1.81778208396992,10.3301192230211,18.7829371073003,0.004682576613487572,0.12551261488393528,0.009273683603959273,0.141377666348
1-HEXANOL,1-hexanol,1114,"""111-27-3""",SA,SA,n-alcohols,102.17476,611.3,34.46,0.558598,14.318439,5.6799,3.05106,222.995,2B,2550.0,0.008,1.123977301,0.23230563,0.0,4.694475343,0.005468024961164469,0.15110162167308117,0.011029875915608988,0.16961727799600007
2-METHYL-1-HEXANOL,2-methyl-1-hexanol,1122,"""624-22-6""",SA,SA,other aliphatic alcohols,116.20134,595.0,30.3,0.773298,14.432575,7.18274,2.92395,201.837,2B,2550.0,0.008,2.34286445145699,0.418076415033945,6.59181804013065,7.77444357385212,0.005335823905111931,0.16694978499282775,0.009776891088554781,0.18406638569400002
