dataset,row_index,compound,casrn,feature,issue_type,issue_detail,action,action_reason_code
NA,0,METHANE,"""74-82-8""",dippr_chemid,EXTREME_QUANTILE,value 1.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,1,ETHANE,"""74-84-0""",dippr_chemid,EXTREME_QUANTILE,value 2.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,2,PROPANE,"""74-98-6""",dippr_chemid,EXTREME_QUANTILE,value 3.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,3,ISOBUTANE,"""75-28-5""",dippr_chemid,EXTREME_QUANTILE,value 4.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,4,n-BUTANE,"""106-97-8""",dippr_chemid,EXTREME_QUANTILE,value 5.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,5,"1,1,3-TRIMETHYLCYCLOHEXANE","""3073-66-3""",dippr_chemid,EXTREME_QUANTILE,value 6.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,6,n-PENTANE,"""109-66-0""",dippr_chemid,EXTREME_QUANTILE,value 7.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,7,ISOPENTANE,"""78-78-4""",dippr_chemid,EXTREME_QUANTILE,value 8.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,8,NEOPENTANE,"""463-82-1""",dippr_chemid,EXTREME_QUANTILE,value 9.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,9,METHYLCYCLOPROPANE,"""594-11-6""",dippr_chemid,EXTREME_QUANTILE,value 10.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,10,n-HEXANE,"""110-54-3""",dippr_chemid,EXTREME_QUANTILE,value 11.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,11,2-METHYLPENTANE,"""107-83-5""",dippr_chemid,EXTREME_QUANTILE,value 12.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,12,3-METHYLPENTANE,"""96-14-0""",dippr_chemid,EXTREME_QUANTILE,value 13.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,13,"2,2-DIMETHYLBUTANE","""75-83-2""",dippr_chemid,EXTREME_QUANTILE,value 14.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,14,"2,3-DIMETHYLBUTANE","""79-29-8""",dippr_chemid,EXTREME_QUANTILE,value 15.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,15,n-HEPTANE,"""142-82-5""",dippr_chemid,EXTREME_QUANTILE,value 17.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,16,2-METHYLHEXANE,"""591-76-4""",dippr_chemid,EXTREME_QUANTILE,value 18.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
NA,17,3-METHYLHEXANE,"""589-34-4""",dippr_chemid,EXTREME_QUANTILE,value 19.0 < q01 19.2,WINSORIZE_IF_HEAVY_TAIL,QUANTILE_LOW_OUTLIER
